Surname	Culture
Bhuyan	Indian
Foucart	Belgian
Mir	Indian
Maji	Indian
Zhanda	Zimbabwean
Geldhof	Belgian
Magara	Zimbabwean
Muchingami	Zimbabwean
Koenen	Dutch
Ansari	Indian
Galletti	Italian
Dufour	Belgian
Madzimure	Zimbabwean
Mishra	Indian
Elliott	American
Simha	Indian
Arias	American
Mutamba	Zimbabwean
Patti	Italian
Roach	American
Hellemans	Belgian
Montoya	American
de Kok	Dutch
op de Beeck	Belgian
Malunga	Zimbabwean
Lefever	Belgian
Blom	Dutch
de Buck	Belgian
Newman	American
Mazumder	Indian
van Poucke	Belgian
Tshabalala	Zimbabwean
Brand	Dutch
Mwembe	Zimbabwean
Kembo	Zimbabwean
Groeneveld	Dutch
Bhise	Indian
Giovannini	Italian
Troch	Belgian
Tela	Indian
de Vlieger	Belgian
Proctor	American
Struyf	Belgian
Lungu	Zimbabwean
McCullough	American
Kuhn	American
Matema	Zimbabwean
Sparks	American
Trevisan	Italian
Vezzoli	Italian
Peek	Dutch
Mi	Indian
Soren	Indian
Charumbira	Zimbabwean
Stein	American
Piva	Italian
Nag	Indian
Mohammed	Indian
Nessa	Indian
Chikowore	Zimbabwean
Bruijn	Dutch
van Helden	Dutch
McKay	American
Mistri	Indian
Chawatama	Zimbabwean
Kortekaas	Dutch
Bogaert	Belgian
Cecchini	Italian
Thomassen	Dutch
Mukombwe	Zimbabwean
Franceschini	Italian
Torres	American
Sampson	American
Booij	Dutch
Banks	American
Hofstra	Dutch
Hembrom	Indian
Goremusandu	Zimbabwean
Dalui	Indian
van Dorst	Dutch
Peterson	American
Garner	American
van der Velden	Dutch
Pouw	Dutch
Galli	Italian
van den Berghe	Belgian
Saxena	Indian
Federico	Italian
Leenders	Dutch
Gioia	Italian
Giudice	Italian
Piacentini	Italian
Tara	Indian
Makavan	Indian
McMahon	American
Duchesne	Belgian
Dierickx	Belgian
Ndava	Zimbabwean
van der Valk	Dutch
Lecomte	Belgian
Klop	Dutch
Dabhi	Indian
Sahni	Indian
Botti	Italian
Dubuisson	Belgian
Maesen	Belgian
Scholtens	Dutch
Otten	Dutch
Bucci	Italian
Beijer	Dutch
Koning	Dutch
Curtis	American
Gevaert	Belgian
Léonard	Belgian
Blake	American
Pradhan	Indian
Pirozzi	Italian
Hernandez	American
di Gregorio	Italian
Chettri	Indian
Mestdagh	Belgian
Proost	Belgian
Leblanc	American
Govaerts	Belgian
Pyari	Indian
van Impe	Belgian
Klaver	Dutch
de Bruycker	Belgian
Kamat	Indian
Gasura	Zimbabwean
van Rooij	Dutch
Ticharwa	Zimbabwean
Masarakufa	Zimbabwean
Nzou	Zimbabwean
Sacchetti	Italian
Hunter	American
Bressan	Italian
Cummings	American
Naert	Belgian
Vir	Indian
Nijland	Dutch
Lamers	Dutch
Fiorentino	Italian
ten Berge	Dutch
Caiazzo	Italian
Madzima	Zimbabwean
Holloway	American
Croce	Italian
Harris	American
Brock	American
Ushe	Zimbabwean
Gargiulo	Italian
Nyanga	Zimbabwean
Delcourt	Belgian
Rizzi	Italian
Peluso	Italian
Guthrie	American
Sengupta	Indian
Conforti	Italian
Short	American
Bos	Dutch
Chiripanyanga	Zimbabwean
Nijmeijer	Dutch
Lepcha	Indian
Merola	Italian
Shepherd	American
van Mierlo	Dutch
Holvoet	Belgian
Chaturvedi	Indian
Zito	Italian
Verstrepen	Belgian
Ndebele	Zimbabwean
Delgado	American
Terry	American
Machisa	Zimbabwean
Chikuni	Zimbabwean
Vani	Indian
Nijhuis	Dutch
Sithole	Zimbabwean
Bosi	Italian
Cudasam	Indian
Ndemera	Zimbabwean
van der Burgt	Dutch
Kaitano	Zimbabwean
Daniel	American
Bassi	Italian
Montagna	Italian
Fiorentini	Italian
Truyens	Belgian
Gaddam	Indian
Giuliano	Italian
Chirwa	Zimbabwean
Mutare	Zimbabwean
Wanders	Dutch
Oneill	American
Veldkamp	Dutch
Santoro	Italian
lo Presti	Italian
Franken	Dutch
Arif	Indian
Evers	Dutch
Gayakwad	Indian
de Mol	Belgian
Mouton	Belgian
de Falco	Italian
Gonzo	Zimbabwean
Benvenuti	Italian
Kara	Indian
Joosten	Dutch
Machingura	Zimbabwean
Komboni	Zimbabwean
di Donato	Italian
Mapfumo	Zimbabwean
Errico	Italian
Vengesai	Zimbabwean
Chirara	Zimbabwean
Cantoni	Italian
Sheik	Indian
Kemper	Dutch
Makwarimba	Zimbabwean
Decorte	Belgian
Claus	Belgian
van Kleef	Dutch
Bee	Indian
Mazzone	Italian
